title,sales_price,low_estimate,high_estimate,signature,size,created,medium,auction_lot,auction_house,auction_date
UNTITLED (ROMAN NOTE),"$2,835,000","$1,200,000","$1,800,000",Unavailable,"27.63"" x 34.38""",1970,"Oil  , wax crayon and pencil / Paper on board",5,Sotheby's New York,11/16/2017
Untitled,"$7,515,000","$6,000,000","$8,000,000",Signed and Dated,"99.25"" x 72.75""",2004,Acrylic  on wooden panel,29,Phillips New York,11/16/2017
Untitled (estimate upon request),"$46,437,500",n/a,n/a,Unavailable,"128.00"" x 194.50""",2005,Acrylic / Canvas,15B,"Christie's New York, Rockefeller Center",11/15/2017
Sunset (estimate upon request),"$27,312,500",n/a,n/a,Unavailable,"55.75"" x 70.88""",1957,"Oil based house paint, wax crayon, colored pencil and lead pencil / Canvas",17B,"Christie's New York, Rockefeller Center",11/15/2017
Lycian drawing,"$2,365,300","$1,307,700","$1,961,550",Signed and Dated,"39.25"" x 27.52""",1982,"Oil  , wax crayon and pencil / Paper",30,"Christie's London, King Street",10/06/2017
UNTITLED,"$8,446,180","$7,255,600","$9,894,000",Signed and Dated,"51.38"" x 59.25""",1962,Oil  and graphite / Canvas,13,"Sotheby's London, New Bond Street",10/05/2017
8 Odi di Orazio,-not sold-,"$52,770","$79,150",Signed and Titled,"19.69"" x 13.78""",1968,Pencil / Paper,122,Phillips London,10/05/2017
Untitled,"$695,190","$264,960","$397,440",Signed and Dated,"13.19"" x 14.09""",1961,Pencil  and wax crayon and coloured pencil / Paper,44,"Christie's London, King Street",10/03/2017
"Tulips, Rome","$24,390","$10,410","$15,610",Signed Initials,"6.18"" x 5.94""",1985,Dry-printing on cardboard,14,"Christie's London, King Street",09/15/2017
"Lemon, Gaeta","$29,270","$10,410","$15,610",Signed Initials,"10.16"" x 9.92""",2008,Dry-printing on cardboard,15,"Christie's London, King Street",09/15/2017
Untitled,-not sold-,"$103,800","$155,700",Signed and Dated,"27.17"" x 19.29""",1981,Pastel  with crayon and collage / Paper,195,Phillips London,06/30/2017
LYCIAN DRAWING (NIMPHIDIA),"$882,420","$764,280","$1,019,040",Signed and Dated,"39.37"" x 27.56""",1982,Oil  and crayon and pencil / Paper,17,"Sotheby's London, New Bond Street",06/28/2017
Untitled,-not sold-,"$4,108,800","$5,906,400",Unavailable,"19.76"" x 23.74""",1961,"Oil-based house paint, lead pencil and wax crayon / Canvas",17,Christie's Hong Kong,05/27/2017
